feature,importance
average_transaction_all_windows,0.010196423
average_transaction_w1,0.0073171677
average_transaction_w2,0.01020406
avg_buyer_number_all_windows,0.008552877
avg_buyer_number_w1,0.005713239
avg_buyer_number_w2,0.012102122
distance_to_cluster_0,0.006718347
distance_to_cluster_1,0.009092005
distance_to_cluster_2,0.007891885
distance_to_cluster_3,0.008117176
distance_to_cluster_4,0.0074307267
ending_portfolio_usd_all_windows,0.1019031
ending_portfolio_usd_w1,0.00947046
ending_portfolio_usd_w2,0.009539515
hybrid_score_all_windows,0.012484493
hybrid_score_w1,0.0076449225
hybrid_score_w2,0.010637473
invested_all_windows,0.009263016
invested_w1,0.008216216
invested_w2,0.006573903
log_weighted_return_all_windows,0.006772599
log_weighted_return_w1,0.008476447
log_weighted_return_w2,0.011427693
median_buyer_number_all_windows,0.009411345
median_buyer_number_w1,0.0072448812
median_buyer_number_w2,0.009350327
min_buyer_number_all_windows,0.004551293
min_buyer_number_w1,0.0059788334
min_buyer_number_w2,0.005832287
net_gain_all_windows,0.009762147
net_gain_w1,0.0056422697
net_gain_w2,0.030093148
new_coin_buy_counts_all_windows,0.010309767
new_coin_buy_counts_w1,0.008130581
new_coin_buy_counts_w2,0.007403369
performance_score_all_windows,0.010088788
performance_score_w1,0.005065837
performance_score_w2,0.008702441
portfolio_wtd_market_cap_all_windows,0.009658165
portfolio_wtd_market_cap_w1,0.0100027695
portfolio_wtd_market_cap_w2,0.014534998
price_sma_5_vs_lead_21_buy_mean_all_windows,0.0082174875
price_sma_5_vs_lead_21_buy_mean_w1,0.007425208
price_sma_5_vs_lead_21_buy_mean_w2,0.007476059
price_sma_5_vs_lead_21_buy_weighted_all_windows,0.008426869
price_sma_5_vs_lead_21_buy_weighted_w1,0.0067392
price_sma_5_vs_lead_21_buy_weighted_w2,0.0065788883
price_sma_5_vs_lead_21_sell_mean_all_windows,0.0079013035
price_sma_5_vs_lead_21_sell_mean_w1,0.0076500056
price_sma_5_vs_lead_21_sell_mean_w2,0.006603298
price_sma_5_vs_lead_21_sell_weighted_all_windows,0.0071773264
price_sma_5_vs_lead_21_sell_weighted_w1,0.010583478
price_sma_5_vs_lead_21_sell_weighted_w2,0.006063306
price_sma_5_vs_lead_7_buy_mean_all_windows,0.005398637
price_sma_5_vs_lead_7_buy_mean_w1,0.0077174464
price_sma_5_vs_lead_7_buy_mean_w2,0.006296383
price_sma_5_vs_lead_7_buy_weighted_all_windows,0.0056302096
price_sma_5_vs_lead_7_buy_weighted_w1,0.009165755
price_sma_5_vs_lead_7_buy_weighted_w2,0.005489663
price_sma_5_vs_lead_7_sell_mean_all_windows,0.010033139
price_sma_5_vs_lead_7_sell_mean_w1,0.0076043224
price_sma_5_vs_lead_7_sell_mean_w2,0.0075534238
price_sma_5_vs_lead_7_sell_weighted_all_windows,0.005806806
price_sma_5_vs_lead_7_sell_weighted_w1,0.009755648
price_sma_5_vs_lead_7_sell_weighted_w2,0.0061763884
return_all_windows,0.0064334343
return_w1,0.0052282265
return_w2,0.013061274
risk_adj_return_all_windows,0.015143855
risk_adj_return_w1,0.0136989
risk_adj_return_w2,0.024881985
size_adjusted_rank_all_windows,0.008503543
size_adjusted_rank_w1,0.00575604
size_adjusted_rank_w2,0.0053276485
total_volume_all_windows,0.008111845
total_volume_w1,0.008958539
total_volume_w2,0.008459182
transaction_days_all_windows,0.005756589
transaction_days_w1,0.012727007
transaction_days_w2,0.0054887086
unique_coins_traded_all_windows,0.005761263
unique_coins_traded_w1,0.0067279227
unique_coins_traded_w2,0.009301883
volume_sma_5_vs_lead_21_buy_mean_all_windows,0.0064820154
volume_sma_5_vs_lead_21_buy_mean_w1,0.0057022767
volume_sma_5_vs_lead_21_buy_mean_w2,0.00787222
volume_sma_5_vs_lead_21_buy_weighted_all_windows,0.008228448
volume_sma_5_vs_lead_21_buy_weighted_w1,0.012808047
volume_sma_5_vs_lead_21_buy_weighted_w2,0.0077848798
volume_sma_5_vs_lead_21_sell_mean_all_windows,0.006103712
volume_sma_5_vs_lead_21_sell_mean_w1,0.0042641303
volume_sma_5_vs_lead_21_sell_mean_w2,0.006318496
volume_sma_5_vs_lead_21_sell_weighted_all_windows,0.0059156334
volume_sma_5_vs_lead_21_sell_weighted_w1,0.004726597
volume_sma_5_vs_lead_21_sell_weighted_w2,0.007876224
volume_sma_5_vs_lead_7_buy_mean_all_windows,0.006978311
volume_sma_5_vs_lead_7_buy_mean_w1,0.005684879
volume_sma_5_vs_lead_7_buy_mean_w2,0.005539326
volume_sma_5_vs_lead_7_buy_weighted_all_windows,0.0060843173
volume_sma_5_vs_lead_7_buy_weighted_w1,0.007016408
volume_sma_5_vs_lead_7_buy_weighted_w2,0.0069825947
volume_sma_5_vs_lead_7_sell_mean_all_windows,0.007660371
volume_sma_5_vs_lead_7_sell_mean_w1,0.005607177
volume_sma_5_vs_lead_7_sell_mean_w2,0.0058567496
volume_sma_5_vs_lead_7_sell_weighted_all_windows,0.005560912
volume_sma_5_vs_lead_7_sell_weighted_w1,0.008971407
volume_sma_5_vs_lead_7_sell_weighted_w2,0.0065182447
volume_wtd_market_cap_all_windows,0.007998516
volume_wtd_market_cap_w1,0.0067825974
volume_wtd_market_cap_w2,0.008368295
